,City,Time,Country,Latitude,Longitude,Temperature,Humidity,Cloud Coverage,Wind Speed
128,Amambai,1515526027,BR,-23.11,-55.23,71.61,98,92,10.45
129,Port Hawkesbury,1515526149,CA,45.62,-61.36,34.17,92,80,10.0
130,Msanga,1515526150,TZ,-6.04,36.03,68.01,80,56,4.41
131,Yulin,1515526150,CN,38.3,109.75,5.24,75,0,12.68
132,Bekhtery,1515526151,UA,46.25,32.3,25.76,100,0,3.62
133,Kahului,1515524160,US,20.89,-156.47,73.4,77,1,5.64
134,Ola,1515524400,RU,59.58,151.3,-22.01,74,64,14.25
135,Chernaya Kholunitsa,1515526153,RU,58.85,51.72,21.44,85,76,13.13
136,Zatoka,1515524400,PL,50.04,20.52,33.8,80,0,9.17
137,Gagnoa,1515526155,CI,6.13,-5.95,78.59,77,36,2.17
138,Palivere,1515526155,EE,58.97,23.89,33.32,95,76,3.74
139,Houma,1515526156,CN,35.63,111.36,12.71,56,0,7.09
140,Bougouni,1515526156,ML,11.42,-7.49,85.92,25,0,11.79
141,Chenzhou,1515526157,CN,25.81,113.03,20.94,75,0,2.51
142,Baykit,1515526157,RU,61.68,96.39,-15.38,65,68,3.74
143,Noumea,1515524400,NC,-22.28,166.46,66.2,72,0,8.1
144,Gwadar,1515526159,PK,25.12,62.33,64.77,82,0,8.55
145,El Alto,1515524400,BO,-16.5,-68.19,50.0,71,75,6.93
146,Boende,1515526160,CD,-0.28,20.88,83.54,61,24,1.39
147,Birin,1515526160,SY,35.01,36.67,46.14,95,0,8.66
148,Mahibadhoo,1515526161,MV,3.78,72.97,81.65,100,48,16.26
149,Moerai,1515526161,PF,-22.43,-151.33,75.89,100,92,19.51
150,Loding,1515523800,DE,48.05,12.68,48.2,66,0,10.29
151,Khajuraho,1515526165,IN,24.85,79.93,43.08,80,0,2.51
152,Patillas,1515524160,PR,18.01,-66.01,84.2,58,40,13.87
153,Brae,1515523800,GB,60.4,-1.35,42.8,87,75,32.21
154,Iquique,1515524400,CL,-20.22,-70.14,73.4,69,0,17.22
155,Cottonwood,1515524220,US,34.74,-112.01,64.4,31,90,16.11
156,Bilibino,1515526169,RU,68.06,166.44,-11.19,71,92,2.39
157,Port Lincoln,1515526170,AU,-34.72,135.86,63.06,96,92,9.22
158,Qostanay,1515524400,KZ,53.17,63.58,3.2,91,0,8.95
159,Mambolo,1515520800,SL,8.92,-13.04,84.2,74,0,10.29
160,Bandar-e Lengeh,1515520800,IR,26.56,54.88,62.6,45,0,4.7
161,Francistown,1515524400,BW,-21.17,27.5,78.8,50,0,5.82
162,North Bend,1515524160,US,43.41,-124.22,48.2,87,90,11.41
163,Rawson,1515526173,AR,-43.3,-65.11,83.36,37,0,8.99
164,Deniliquin,1515526173,AU,-35.53,144.96,56.09,52,0,8.1
165,At-Bashi,1515526174,KG,41.17,75.81,-9.26,51,0,2.06
166,Bossier City,1515525300,US,32.52,-93.73,50.0,81,90,3.36
167,Faanui,1515526176,PF,-16.48,-151.75,81.29,100,0,6.64
168,Kijang,1515520800,KR,35.24,129.21,32.0,74,0,5.82
169,Guiratinga,1515526177,BR,-16.35,-53.76,79.08,87,80,9.22
170,Saint-Paul,1515524400,FR,45.22,1.9,41.0,93,0,4.7
171,Hammerfest,1515523800,NO,70.66,23.68,35.6,92,90,3.36
172,Cartagena,1515524400,ES,37.63,-1.0,50.0,81,0,3.36
173,San Andres,1515526180,PH,13.32,122.68,79.44,100,64,13.8
174,Barabinsk,1515526180,RU,55.35,78.35,13.07,83,68,14.7
175,Sechura,1515526181,PE,-5.56,-80.82,76.07,70,0,8.21
176,Saint-Leu,1515524400,RE,-21.15,55.28,80.6,74,20,5.82
177,Marsa Matruh,1515524400,EG,31.35,27.25,59.0,77,0,5.82
178,Ribeira Grande,1515524400,PT,38.52,-28.7,60.8,63,40,26.4
179,Paramonga,1515526183,PE,-10.68,-77.82,68.24,97,20,7.65
180,Pacific Grove,1515525000,US,36.62,-121.92,55.4,100,90,5.82
181,Los Llanos de Aridane,1515524400,ES,28.66,-17.92,68.0,77,75,1.12
182,Flinders,1515520800,AU,-34.58,150.85,64.4,82,90,7.65
183,Cockburn Town,1515526185,TC,21.46,-71.14,79.62,96,64,17.49
184,Elat,1515526185,CM,2.91,11.16,74.67,74,8,2.06
185,Soto la Marina,1515526186,MX,23.77,-98.21,70.4,48,0,2.95
186,Ahipara,1515526187,NZ,-35.17,173.16,60.32,100,20,3.51
187,Acapulco,1515523440,MX,16.86,-99.88,84.2,66,5,5.82
188,Crestview,1515524280,US,30.76,-86.57,66.2,88,90,4.7
189,Karaton,1515524400,ID,-6.34,106.1,77.0,88,40,3.36
190,Sidrolandia,1515524400,BR,-20.93,-54.96,77.0,73,75,11.41
191,Miri,1515526190,NG,10.31,9.75,70.31,30,0,5.53
192,Aracati,1515526190,BR,-4.56,-37.77,84.89,71,48,11.56
193,Roald,1515523800,NO,62.58,6.12,44.6,39,0,12.75
194,Waddan,1515526191,LY,29.16,16.14,60.99,36,68,6.64
195,Neuquen,1515524400,AR,-38.95,-68.06,95.0,36,0,8.05
196,Setermoen,1515523800,NO,68.86,18.35,33.8,97,75,3.51
197,Longyearbyen,1515523800,NO,78.22,15.63,24.8,68,75,13.87
198,Norman Wells,1515524400,CA,65.28,-126.83,-38.21,65,20,4.41
199,Ilulissat,1515523800,GL,69.22,-51.1,12.2,47,5,2.24
200,Bambanglipuro,1515526195,ID,-7.95,110.28,72.2,100,80,3.06
201,Kem,1515526195,UG,2.68,33.77,78.27,28,92,3.06
202,Saldanha,1515526196,PT,41.42,-6.55,42.32,97,92,12.24
203,Forio,1515524100,IT,40.73,13.86,60.8,93,75,7.43
204,San Luis,1515526149,AR,-33.3,-66.34,95.91,29,20,10.0
205,Ponta do Sol,1515526198,BR,-20.63,-46.0,81.06,70,0,7.54
206,Qandala,1515526199,SO,11.47,49.87,58.47,100,0,5.97
207,Point Fortin,1515520800,TT,10.16,-61.68,86.0,51,40,9.17
208,Luderitz,1515524400,NA,-26.65,15.16,62.6,67,0,18.34
209,Rio Gallegos,1515524400,AR,-51.62,-69.22,77.0,50,75,14.99
210,Abu Samrah,1515526201,SY,35.3,37.18,42.02,92,12,6.62
211,Port Elizabeth,1515524160,US,39.31,-74.98,44.6,56,20,10.29
212,Cabedelo,1515524400,BR,-6.97,-34.84,84.2,58,75,12.75
213,Yulara,1515520800,AU,-25.24,130.99,78.8,54,75,11.41
214,Westerland,1515524100,NL,52.89,4.93,42.8,93,90,6.93
215,Hay River,1515524400,CA,60.82,-115.79,-18.41,68,75,12.75
216,Ormara,1515526212,PK,25.21,64.64,66.91,92,0,4.27
217,Avera,1515524100,US,33.19,-82.53,69.8,55,90,4.7
218,Vila,1515524100,IT,45.18,8.4,48.2,100,90,3.36
219,Tabas,1515526214,IR,33.6,56.92,22.36,68,0,2.71
220,Dzaoudzi,1515524400,YT,-12.79,45.27,82.4,74,56,13.87
221,Ferme-Neuve,1515526044,CA,46.7,-75.45,20.58,63,68,9.55
222,Shingu,1515526216,JP,33.72,135.99,46.21,100,8,17.02
223,Mongar,1515526217,BT,27.28,91.24,44.72,72,0,2.37
224,Kautokeino,1515526217,NO,69.01,23.04,11.06,87,76,2.59
225,Ardesen,1515524400,TR,41.19,40.99,50.0,81,75,19.46
226,San Rafael,1515526220,AR,-34.61,-68.33,89.86,24,48,14.79
227,Tivaouane,1515526220,SN,14.95,-16.81,72.85,52,0,12.66
228,Pevek,1515526221,RU,69.7,170.27,0.98,93,80,3.83
229,Kaeo,1515526221,NZ,-35.1,173.78,71.95,64,32,4.05
230,Osorheiu,1515524400,RO,47.03,22.05,44.6,87,0,4.7
231,Goderich,1515526222,CA,43.74,-81.71,23.8,100,8,4.16
232,Chake Chake,1515526224,TZ,-5.25,39.77,81.85,95,48,18.14
233,Bubaque,1515524400,GW,11.28,-15.83,86.0,27,0,4.7
234,Ambon,1515524400,FR,47.55,-2.56,50.0,93,44,13.87
235,Pushkinskiye Gory,1515526226,RU,57.02,28.91,31.27,94,88,10.42
236,East London,1515520800,ZA,-33.02,27.91,62.6,88,20,8.05
237,Shelburne,1515524400,CA,44.08,-80.2,30.2,74,90,5.82
238,Jiazi,1515524400,CN,19.61,110.49,55.4,76,90,13.42
239,Saint-Paul-les-Dax,1515524400,FR,43.73,-1.05,50.0,57,90,9.17
240,Slantsy,1515526229,RU,59.12,28.09,29.74,92,24,4.94
241,Tecoanapa,1515523440,MX,16.99,-99.26,84.2,66,5,5.82
242,Comodoro Rivadavia,1515524400,AR,-45.87,-67.48,82.4,32,0,13.87
243,Avarua,1515524400,CK,-21.21,-159.78,80.6,88,75,18.34
244,Amberley,1515524400,NZ,-43.15,172.73,59.0,100,88,13.87
245,Chabahar,1515526232,IR,25.29,60.65,65.24,100,36,7.18
246,Dali,1515526232,CN,25.6,100.24,33.38,100,0,1.81
247,Kiboga,1515526233,UG,0.92,31.77,63.76,66,0,3.71
248,Vuktyl,1515526233,RU,63.86,57.31,11.29,75,80,3.15
249,Riohacha,1515524400,CO,11.54,-72.91,91.4,41,40,12.75
250,Freeport,1515524400,BS,26.54,-78.7,69.8,94,90,15.48
251,Georgetown,1515524400,GY,6.8,-58.16,86.0,58,40,6.93
252,Kaitangata,1515526236,NZ,-46.28,169.85,59.71,75,88,2.37
253,Tual,1515526236,ID,-5.67,132.75,80.27,100,64,11.32
254,Lubango,1515526237,AO,-14.92,13.49,64.57,73,48,2.93
255,Gabu,1515526237,CN,34.78,103.0,4.0,37,0,7.18
256,Bobrovka,1515526238,RU,52.3,45.54,19.39,85,64,14.23
257,Boysun,1515526238,UZ,38.2,67.2,13.0,72,76,1.48
258,Vao,1515526239,EE,59.1,26.19,27.67,94,0,5.06
259,Sawakin,1515524400,SD,19.1,37.33,73.4,73,0,20.8
260,Torrington,1515523980,US,42.06,-104.18,53.6,61,1,3.36
261,Murliganj,1515526240,IN,25.9,86.99,45.26,89,0,7.07
262,Tianpeng,1515526241,CN,28.88,112.34,29.92,100,48,3.04
263,Curaca,1515526241,BR,-8.99,-39.91,87.16,38,44,11.1
264,Bandarbeyla,1515526242,SO,9.49,50.81,76.09,99,0,22.5
265,Fortuna,1515524400,ES,38.18,-1.13,50.0,61,0,3.36
266,Ust-Tsilma,1515526243,RU,65.44,52.15,22.13,79,88,9.19
267,Nambucca Heads,1515522600,AU,-30.64,152.99,69.8,94,75,3.36
268,Bathsheba,1515524400,BB,13.22,-59.52,82.4,69,20,10.29
269,Ahuimanu,1515524220,US,21.44,-157.84,75.2,73,1,8.05
270,Solnechnyy,1515526245,RU,50.72,136.64,-10.77,71,76,9.98
271,Nizhniy Ufaley,1515526246,RU,55.91,59.99,17.59,79,64,8.75
272,Victoria Point,1515524400,AU,-27.58,153.3,71.6,88,20,6.96
273,Havre-Saint-Pierre,1515524400,CA,50.23,-63.6,14.0,85,90,8.05
274,Robertsport,1515526247,LR,6.75,-11.37,81.67,100,20,11.77
275,Shimoda,1515526248,JP,34.7,138.93,45.98,100,0,27.2
276,Fortuna Foothills,1515524220,US,32.66,-114.41,73.4,53,1,24.16
277,Adrar,1515524400,DZ,27.87,-0.29,57.2,26,0,5.82
278,Litovko,1515526249,RU,49.24,135.18,-1.59,57,80,5.95
279,Frontera,1515523200,MX,18.53,-92.64,78.8,57,75,4.7
280,Hofn,1515526250,IS,64.25,-15.21,42.07,91,92,21.27
281,Hovd,1515523800,NO,63.83,10.7,32.0,78,0,8.05
282,Port Hueneme,1515524340,US,34.15,-119.2,59.0,87,90,8.05
283,Tulua,1515526252,NG,12.3,4.78,65.69,33,0,8.08
284,Sassandra,1515526252,CI,4.95,-6.09,79.15,100,32,9.64
285,Kuryk,1515526253,KZ,43.18,51.68,36.44,100,92,21.27
286,Oneonta,1515526253,US,42.45,-75.06,27.44,68,80,8.19
287,College,1515524280,US,64.86,-147.8,-4.01,69,1,9.17
288,Lawrenceville,1515525300,US,38.73,-87.68,37.4,93,90,5.82
289,Miles City,1515523980,US,46.41,-105.84,33.8,80,1,8.05
290,Valparaiso,1515525300,US,41.47,-87.06,32.0,92,90,5.5
291,Hobart,1515522600,AU,-42.88,147.33,55.4,82,40,5.82
292,Vanimo,1515526259,PG,-2.67,141.3,81.71,100,56,1.14
293,Smithers,1515524400,CA,54.78,-127.17,21.2,100,75,5.82
294,Puri,1515520800,ID,-7.54,112.45,78.8,78,20,5.82
295,Kyabe,1515526261,TD,9.45,18.94,62.5,32,8,5.73
296,Imeni Morozova,1515524400,RU,59.98,31.04,28.4,92,40,4.47
297,Esperance,1515520800,TT,10.24,-61.45,86.0,51,40,9.17
298,Guilin,1515520800,CN,25.28,110.29,42.8,75,0,4.41
299,Purpe,1515526264,RU,64.48,76.69,7.87,82,76,14.23
300,Vallenar,1515526154,CL,-28.58,-70.76,73.46,72,0,3.06
301,Muravlenko,1515526265,RU,63.79,74.5,12.55,83,44,13.78
302,Puerto Asis,1515526266,CO,0.51,-76.5,77.48,87,48,2.48
303,Maxixe,1515526266,MZ,-23.86,35.35,76.13,95,12,18.25
304,Quatre Cocos,1515524400,MU,-20.21,57.76,78.8,94,75,4.7
305,Jiayuguan,1515526267,CN,39.77,98.29,-13.87,33,0,3.15
306,Rafai,1515526268,CF,4.95,23.92,65.29,69,0,5.17
307,Wodonga,1515524400,AU,-36.12,146.89,60.8,63,0,4.7
308,Priyutovo,1515526269,RU,53.89,53.93,17.36,86,80,6.73
309,Camabatela,1515526269,AO,-8.19,15.37,66.41,92,36,6.06
310,Rongai,1515526270,KE,-0.17,35.86,58.99,76,80,1.48
311,Topolobampo,1515523260,MX,25.6,-109.05,80.6,32,90,6.93
312,Yerbogachen,1515526271,RU,61.28,108.01,-22.96,66,24,6.73
313,Pervomayskoye,1515526272,RU,57.07,86.23,8.32,74,48,10.98
314,Karatau,1515526272,KZ,43.18,70.46,11.65,59,0,2.59
315,Hamilton,1515524100,BM,32.3,-64.78,68.0,88,75,6.93
316,Vikyrovice,1515526273,CZ,49.98,17.01,40.54,96,92,17.13
317,Chapada dos Guimaraes,1515524400,BR,-15.46,-55.75,84.2,66,40,5.82
318,Chisinau,1515524400,MD,47.01,28.86,26.6,86,36,4.7
319,Nhulunbuy,1515526276,AU,-12.18,136.78,81.4,100,20,5.61
320,Saint George,1515523800,GR,39.45,22.34,50.0,81,75,6.93
321,Rumonge,1515526277,BI,-3.97,29.44,68.57,100,64,1.7
322,Arona,1515523800,IT,45.76,8.56,51.8,87,75,5.82
323,Chunoyar,1515526279,RU,57.45,97.32,-3.21,74,20,2.93
324,Ugoofaaru,1515526279,MV,5.67,73.0,80.81,100,48,7.63
325,Baruun-Urt,1515526283,MN,46.68,113.28,-14.14,58,32,6.17
326,Majene,1515526284,ID,-3.54,118.97,82.07,100,88,8.86
327,Sorland,1515526285,NO,67.67,12.69,42.74,99,76,12.66
328,Tiznit,1515526282,MA,29.7,-9.73,52.46,95,0,0.69
329,Nikolskoye,1515524400,RU,59.7,30.79,28.4,92,40,4.47
330,Witu,1515526286,KE,-2.39,40.44,79.24,70,12,11.54
331,Albany,1515524040,US,42.65,-73.75,35.6,55,90,16.11
332,Mogadishu,1515526287,SO,2.04,45.34,78.56,96,0,32.35
333,Punta Arenas,1515524400,CL,-53.16,-70.91,62.6,48,75,26.4
334,Gamba,1515526288,CN,28.28,88.52,10.61,51,0,6.96
335,Sirsa,1515526288,IN,29.54,75.04,45.17,80,0,4.16
336,Butaritari,1515526289,KI,3.07,172.79,81.49,100,80,16.8
337,Taoudenni,1515526289,ML,22.68,-3.98,52.87,29,0,8.63
338,Kralendijk,1515524100,BQ,12.15,-68.27,86.0,62,20,16.11
339,Haapiti,1515524400,PF,-17.57,-149.87,86.0,62,40,4.7
340,Galveston,1515524160,US,40.58,-86.19,32.0,100,90,5.82
341,Novoleushkovskaya,1515526292,RU,45.99,39.99,21.32,89,0,7.18
342,Longyan,1515526292,CN,25.1,117.03,26.54,60,0,3.38
343,Tabuk,1515526293,PH,17.41,121.44,66.46,97,80,1.92
344,Aripuana,1515526294,BR,-9.17,-60.63,86.66,62,36,2.26
345,Sasaram,1515526294,IN,24.95,84.01,46.07,86,0,3.71
346,Mayumba,1515526295,GA,-3.44,10.65,78.83,95,88,7.96
347,Isangel,1515526295,VU,-19.55,169.27,79.28,100,24,16.69
348,Halmeu,1515524400,RO,47.98,23.0,46.4,61,48,4.7
349,Zeya,1515526296,RU,53.74,127.27,-12.3,55,0,9.31
350,Bethel,1515523980,US,60.79,-161.76,6.8,77,1,16.11
351,Taltal,1515526186,CL,-25.41,-70.49,73.64,51,0,5.53
352,Vangaindrano,1515526298,MG,-23.35,47.6,78.07,74,24,5.39
353,Erenhot,1515526299,CN,43.65,111.97,-8.29,58,0,9.64
354,Waingapu,1515526300,ID,-9.65,120.26,71.95,97,0,5.95
355,Brynmawr,1515525600,GB,51.8,-3.17,46.4,100,90,12.75
356,Arroyo,1515524040,US,41.39,-78.88,33.8,74,90,12.75
357,Homer,1515523980,US,59.64,-151.54,24.8,67,1,5.82
358,Tazovskiy,1515526303,RU,67.47,78.7,1.16,81,68,11.77
359,Svetlaya,1515526303,RU,46.54,138.33,20.92,100,76,17.02
360,Alofi,1515520800,NU,-19.06,-169.92,77.0,88,75,6.93
361,Gat,1515520800,SN,14.69,-16.54,89.6,27,0,6.93
362,Ginir,1515526305,ET,7.14,40.71,62.5,57,88,1.7
363,Newcastle,1515526180,ZA,-27.76,29.92,64.68,68,92,6.64
364,Linqiong,1515524400,CN,30.42,103.46,32.0,84,92,2.24
365,Hithadhoo,1515526306,MV,-0.6,73.08,82.88,100,92,15.68
366,Minsk,1515522600,BY,53.9,27.56,28.4,100,90,8.95
367,Caravelas,1515526307,BR,-17.73,-39.27,79.96,100,76,16.58
368,Esperantinopolis,1515526308,BR,-4.87,-44.71,80.77,76,32,2.26
369,Humaita,1515524400,AR,-24.93,-65.37,82.4,50,75,4.7
370,Rindal,1515526309,NO,63.05,9.21,3.86,69,0,2.04
371,Hvide Sande,1515523800,DK,56.01,8.13,39.2,74,88,13.87
372,Ushuaia,1515524400,AR,-54.81,-68.31,64.4,42,40,5.82
373,Arrifes,1515524400,PT,37.77,-25.7,62.6,67,20,21.92
374,Broken Hill,1515526230,AU,-31.97,141.45,66.41,44,12,11.1
